"","memory CD4+ T cells","memory CD8+ T cells","naive CD4+ T cells","naive CD8+ T cells","NKT","MAIT","Tregs","NK","Plasma cells","pre-B cells","cDC","pDC","Monocytes","Basophils","Neutrophils"
"CD86_HLA-DRA_TRAF3IP2",0.04,0,0,0.09,0,0,0,0,1.67,1.38,0.58,4.38,1.25,0,0
"ALAS1_BRD1_HIF1A",0.22,0.19,0.11,0.19,0.55,0.08,0.48,0.17,1.25,0.3,1.16,4.38,1.29,0.29,0
"ALOX5_NOD2_PIBF1",0,0,0,0,0,0,0,0,0,0.04,0,4.38,1.43,0,0
"CD81_IDO1_TGFBR2",0,0,0.03,0,0,0,0,0,0,0.04,0,4.38,0.18,0,0
"BTK_NOD2_TICAM1",0,0,0,0,0,0,0,0,0,0.13,0,4.38,2.35,0,0
"BTK_NOD2_SKP2",0,0,0,0,0,0,0,0,0.42,0,0.58,4.38,0.99,0,0
"BCL11B_CD3E_MYO1E",0.04,0.11,0.06,0,0.41,0,0.48,0.09,0,0,1.73,4.38,0.1,0,0.04
"MAPK14_MYC_PMAIP1",0.3,0.33,0.14,0.38,0,1.09,0.97,0.08,2.08,0.78,0,4.38,1.45,0,0
"HEXIM1_IL1B_TNFAIP3",0,0,0,0,0,0.08,0,0.01,0,0,0,4.38,1.75,0,0.07
"ADAM8_FADD_PTGER4",0.6,0.52,0.06,0,1.23,0.33,0.16,0.93,0,0.17,0,4.38,1.01,0,0
"CCR2_CD83_PDE4B",0.04,0,0,0,0,0,0,0,0,0.04,0.58,4.38,1.55,0,0
"HLA-DRB1_IFI30_IFNL1",0,0,0,0,0,0,0,0.03,0,0,0,4.38,0.04,0,0
"RARA_SP3_ZBTB46",0,0.02,0,0,0,0,0,0.01,0,0,0.58,4.38,0.24,0,0
"RARA_SPHK2_TESC",0,0.1,0,0,0.14,0,0.32,0.07,0.83,0.09,0,4.38,2.52,0,0
"HIF1A_NFE2L2_PLK2",0,0.02,0,0,0,0.08,0.16,0.01,0.42,0,0.58,4.38,0.26,0,0.04
"ITGB2_KIT_RHOA",0.19,0.03,0,0,0.82,0.17,0,0.16,0,0,1.73,4.38,0.04,0,0
"ANO6_CD40_FLT3",0,0,0,0,0,0,0,0,0.42,0,1.73,4.38,0.24,0,0
"ICAM1_IL1B_RIPK2",0,0,0,0,0,0,0,0,0,0,0,4.38,2.54,0,0.04
"CXCL16_PIK3CA_PIK3CG",0,0.03,0,0,0,0,0,0,0.42,0.04,0,4.38,2.35,0,0.04
"CHUK_RIPK2_TP53",0.15,0.06,0.06,0.09,0,0,0.32,0.04,1.25,0.17,1.16,4.38,1.49,0,0
"CASP9_NR1H2_TP53",0.11,0.16,0.03,0,0.68,0.08,0.16,0.13,2.08,0.43,1.16,4.38,0.93,0,0
"HIF1A_RNF41_VEGFA",0,0,0,0.09,0,0,0,0.03,0,0,0,4.38,2.21,0.29,0
"CTNNB1_STK3_THOC5",0.07,0.05,0,0,0.14,0,0.16,0.01,0.42,0.17,1.16,4.38,1.61,0,0
"IL27RA_NFKBID_WASL",0.26,0.16,0.11,0.19,0.41,0.17,0,0.08,0.83,0.34,0,4.38,1.65,0,0
"FBXO38_HAVCR2_WDFY1",0.04,0.02,0,0,0.14,0,0,0.15,0,0,0,4.38,1.51,0,0
"HIF1A_PTGER4_ZC3H8",0.19,0.37,0.28,0.38,0.55,0.25,0.81,0.28,0,0.3,1.73,4.38,1.83,0,0
"FARP2_HIF1A_PTGER4",0,0.05,0,0,0.14,0.08,0,0.01,0,0.04,2.31,4.38,1.13,0,0.04
"DDX58_IRF7_SIRT1",0.22,0.29,0.06,0.19,0.41,0.17,0.97,0.21,1.25,0.56,0.58,4.38,2.47,0,0.04
"CCR2_ICAM1_PDE4B",0,0,0,0,0,0,0,0,0.42,0,1.73,4.38,1.73,0,0
"CDKN1A_LFNG_METTL3",0,0.03,0,0,0,0,0,0.01,0,0.26,0.58,4.38,2.62,0,0
"HLA-DOA_LILRB2_ZBTB46",0,0,0,0,0,0,0,0,0,0,0.58,4.38,0.08,0,0
"BCR_CCR2_OXSR1",0.11,0.06,0,0,0.14,0.17,0.16,0,0.42,0,2.31,4.38,0.93,0,0
"ADAM17_PIK3CB_ZC3H8",0.26,0.13,0.08,0,0,0.17,0,0.04,0,0.3,0.58,4.38,1.37,0,0
"ABL1_GRAMD4_RTN4",0.04,0.02,0.08,0,0.14,0,0,0.15,0.83,0.04,2.31,4.38,1.57,0,0
"ANXA1_HCAR2_REST",0.11,0.06,0.03,0,0,0.17,0,0,0,0,0,4.38,2.72,0,0.22
"BCL6_CD55_GPR18",0,0.05,0,0.09,0.14,0.08,0,0.01,0.42,0.73,0.58,4.38,0.56,0,0
"ID2_PF4_PRMT1",0.48,0.63,0.22,0.38,1.64,1,0.81,1,1.67,0.04,0.58,4.38,2.01,0,0
"INPP5D_LILRB2_ZBTB46",0,0,0,0,0,0,0,0.01,0,0,0.58,4.38,0.91,0,0
"FLVCR1_IL6ST_PSEN1",0.07,0.08,0.11,0.28,0,0.08,0.32,0.01,0.83,0.09,1.73,4.38,1.75,0,0
"CD44_RARG_SBNO2",0.34,0.21,0.36,0.09,0.27,0.59,0,0.09,0,0.13,0,4.38,0.74,0,0
"NFE2L2_RGCC_SRC",0,0.05,0,0,0.14,0,0.16,0,1.25,0,0,4.38,0.91,0,0
"ABCB10_CDKN1A_KLF4",0,0,0,0,0,0,0,0,0,0,0,4.38,2.58,0,0
"IFI6_IL7_TNFSF10",0.11,0.02,0.08,0,0,0,0.81,0.05,0.83,0.26,0.58,4.38,0.85,0,0.07
"F11R_ICAM1_INPPL1",0,0,0,0,0.14,0,0,0.01,0,0,0.58,4.38,1.73,0,0
"AKT1_KAT2A_TLR4",0,0,0,0,0,0,0,0.01,0,0.13,0,4.38,1.35,0,0
"AGER_CX3CR1_IKBKB",0,0.63,0.03,0,0.41,0.08,0.32,0.48,0,0,0.58,4.38,1.61,0,0.04
"NOD2_PIBF1_PPP2R3C",0.07,0.06,0,0,0,0.08,0.16,0.03,0.42,0,0,4.38,0.91,0,0
"FYN_SMAD3_VEGFA",0,0.02,0.03,0,0.27,0.08,0,0.03,0,0,0,4.38,2.09,0,0.11
"MYC_PTGER4_TP53",1.49,0.41,0.58,1.32,0.55,0.92,1.77,0.05,0,0.34,0,4.38,1.19,0,0
"MAP2K1_TGFBR2_TWSG1",0.04,0.29,0.14,0.28,0.27,0.08,0,0.11,1.25,0.13,1.73,4.38,0.95,0,0
"MAPK1_TGFBR2_TWSG1",0.11,0.43,0.03,0.19,0.55,0.25,0.16,0.32,0.83,0.22,2.31,4.38,1.37,0,0
"ATF4_CASP9_HMOX1",0.04,0.02,0,0,0,0,0.16,0.05,1.25,0.3,0,4.38,2.39,0,0
"MAPK1_RARG_TGFBR2",0.3,0.43,0.28,0.38,0.27,0.42,0.32,0.57,0,0.13,0.58,4.38,1.19,0,0
"CCR2_HLX_RIPK2",0,0,0,0,0,0,0,0,0,0,0.58,4.38,1.81,0,0
"FUT7_IL1B_NOD2",0,0,0,0,0,0,0,0,0,0,0,4.38,0.4,0,0.07
"NOD2_PLCG2_SIRT2",0,0.02,0,0,0,0,0,0.05,1.67,0.09,0,4.38,2.01,0,0
"IL1B_NFKBIA_RASGRP1",0.11,0.06,0.08,0,0,0,0,0.01,0,0.17,1.16,4.38,0.72,0,0.41
"INPP5D_ST3GAL4_UBASH3B",0,0.11,0.03,0,0,0.17,0.16,0.28,0.42,0,0,4.38,0.58,0,0
"PSEN1_ST3GAL4_UBASH3B",0,0.02,0,0,0,0.08,0,0.07,0,0,0,4.38,0.52,0,0
"RELA_SRF_ZMIZ1",0.04,0.1,0,0,0,0.17,0,0.08,1.67,0.13,1.16,4.38,2.05,0,0
"ARRB2_SGPL1_TSC1",0.22,0.57,0.08,0.19,0.96,0.25,0.32,0.24,0.83,0.17,0,4.38,2.66,0,0
"HIF1A_STX4_ZC3H8",0.34,0.41,0.42,0.47,0.55,0.59,0.81,0.5,1.25,0.73,1.73,4.38,1.83,0,0.04
"APPL2_NR1H2_PMAIP1",0.15,0.13,0.03,0,0.41,0.25,1.45,0.17,1.67,0.13,0.58,4.38,0.93,0,0
"CRTAM_HAVCR2_ICAM1",0,0,0,0,0,0,0,0.04,0,0,0,4.38,0.82,0,0
"AGER_FOXO3_JAK2",0.07,0.05,0,0,0.27,0,0,0.07,1.25,0.09,0.58,4.38,1.75,0.29,0
"PMAIP1_SIRT1_STK11",0.22,0.05,0,0,0.41,0,0.32,0.05,1.67,0.3,0.58,4.38,1.47,0,0.04
"MAP2K1_PIK3CB_SRF",0.19,0.06,0.03,0,0,0.25,0.16,0.03,0,0,1.16,4.38,2.21,0,0
"RBPJ_SMAD3_VEGFA",0,0.02,0,0,0,0,0,0,0,0,0,4.38,2.07,0,0
"HSF1_RBPJ_VEGFA",0,0,0,0.09,0,0,0,0,0.42,0.04,0,4.38,2.7,0.29,0
"ID2_NCK1_VEGFA",0,0.03,0,0,0.14,0,0,0.07,0.42,0,0,4.38,2.35,0,0.04
"KLF4_P2RX4_RGCC",0.15,0.03,0.06,0,0,0,0.32,0.01,0.42,0,1.16,4.38,2.35,0,0.04
"FKBP1B_HIF1A_SELENOS",0.07,0.13,0,0,0.14,0.08,0,0.19,0.42,0,0,4.38,1.11,0,0
"FCGR2B_KAT2A_SNCA",0,0,0,0,0,0,0,0,1.25,0,0,4.38,0.1,0,0
"FCGR2B_LDLR_SNCA",0,0,0,0,0,0,0,0.01,0,0,0,4.38,0.42,0,0
"DDX3X_LAPTM5_NRARP",0,0.02,0.03,0,0,0,0,0.04,0,0.09,0,4.38,0.38,0,0
"MED1_NOD2_SIRT2",0.04,0.02,0,0,0,0,0.32,0.04,1.25,0.04,0,4.38,1.89,0,0
"NOD2_PTPN22_SIRT2",0.15,0.08,0,0,0.14,0,0.16,0.08,0.83,0.04,0.58,4.38,1.27,0,0
"MEF2C_SMAD3_VEGFA",0,0,0,0,0,0,0,0,0.42,0.13,0,4.38,2.31,0,0
"JAK2_MFHAS1_NF1",0.11,0.06,0.08,0,0,0,0.32,0.07,0.42,0.09,0.58,4.38,1.07,0,0
"KIT_MSN_RHOA",0.19,0.05,0,0,0.68,0.08,0,0.13,0,0,2.31,4.38,0.04,0,0
"ATXN1L_EIF2AK2_KAT7",1.01,0.67,0.36,0.38,1.1,0.5,0.48,0.52,2.08,0.52,1.73,4.38,1.45,0,0.04
"CDKN1A_KCNQ1_TP53",0,0,0,0,0,0,0,0,1.25,0.22,0,4.38,2.27,0,0
"JAK2_SETD2_VEGFA",0,0.02,0,0,0,0,0,0,0.83,0,0,4.38,2.56,0,0
"SETD2_TP53_VEGFA",0,0.02,0,0,0,0,0,0,0.42,0.04,0,4.38,1.75,0,0
"GAS6_HIF1A_HMOX1",0,0,0,0,0,0,0,0,0.42,0,1.16,4.38,1.43,0,0
"CASP9_NF1_TP53",0.04,0.06,0,0,0.27,0.08,0,0.07,0.83,0,1.73,4.38,0.48,0,0
"FAM20C_HIPK2_SOX4",0,0,0,0,0,0,0,0.01,0,0,0,4.38,2.21,0,0
"IFI30_MFHAS1_NF1",0,0,0,0,0,0,0,0,0,0.04,0,4.38,1.29,0,0
"ABL1_IFI30_NF1",0,0,0,0,0,0,0,0.01,0.42,0,0,4.38,1.17,0,0
"GAS6_LYN_MYC",0,0,0,0,0.14,0,0,0,1.67,0,0.58,4.38,0.62,0,0
"CITED2_RARG_TCIRG1",0.75,0.29,0.17,0.28,0.55,0.92,0,0.4,0.42,0.17,0,4.38,1.29,0,0
"FAM20C_PTK2_TGFB1",0.04,0,0,0,0,0,0,0,0,0,0,4.38,1.19,0,0
"HSPA9_PIK3R1_VEGFA",0.04,0.02,0.03,0.09,0.14,0,0,0.05,1.25,0,0.58,4.38,2.09,0.29,0
"PARK7_SMAD3_VEGFA",0,0.02,0.03,0,0.27,0,0,0.01,0.42,0.13,0,4.38,2.7,0,0.07
"CALR_SMAD3_VEGFA",0,0.02,0.03,0,0.14,0,0,0.03,0.42,0.09,0,4.38,2.25,0,0.07
"IKBKB_IL1B_PRKCH",0,0.06,0,0,0,0,0.16,0.01,0,0,1.16,4.38,0.54,0,0
"JAK3_PTK2_TYK2",0,0.02,0.08,0.47,0,0,0,0.03,0,0.09,1.16,4.38,1.09,0,0
"IL18_NOTCH1_RGCC",0,0.03,0.06,0,0.14,0,0.16,0.01,0,0,2.31,4.38,0.72,0,0.04
"KLF4_NFE2L2_ZC3H12A",0.04,0.03,0,0,0,0,0.16,0.03,0.83,0.09,0.58,4.38,2.66,0,0
"LRP1_SIRT1_SNCA",0,0,0,0,0,0,0,0,0,0,0,4.38,1.89,0,0
"G6PD_MED1_SIRT1",0.15,0.19,0.14,0.19,0.82,0.59,0.64,0.28,1.25,0.13,1.73,4.38,2.19,0.29,0
"APP_EREG_SUPT6H",0,0,0,0,0,0,0,0,0.42,0,2.31,4.38,0.99,0,0
"IDE_PSEN1_SNCA",0,0,0,0,0,0,0,0,0.42,0,1.16,4.38,1.05,0,0
"PRNP_RPS6KB1_SIRT1",0.56,0.24,0.08,0,0.41,0.42,0.97,0.11,0.83,0.22,1.16,4.38,1.43,0.29,0
"DDX3X_PAF1_VEGFA",0,0,0,0,0,0,0,0.03,1.25,0.09,0,4.38,1.59,0,0
"DDX3X_NRARP_PPIA",0,0.02,0.03,0,0,0,0,0.05,0,0.13,0,4.38,0.38,0,0
"GPS2_NOD2_PTPN22",0,0.21,0.03,0,0.27,0,0,0.09,1.25,0,0,4.38,1.01,0,0
"KLF4_LEPR_MEF2C",0,0,0,0,0,0,0,0,0,0,0.58,4.38,2.37,0.29,0
"MFNG_MUL1_ZMIZ1",0.15,0.14,0,0.19,0.27,0.17,0.64,0.08,1.67,0.22,1.73,4.38,1.67,0,0
"MED1_SIRT1_TRIM25",0.07,0.1,0.06,0.28,0.14,0,0.64,0.09,0.83,0.22,0.58,4.38,1.77,0,0.04
"HIF1A_LGMN_ZNF335",0,0,0.11,0,0,0.17,0.16,0,0.83,0.13,2.31,4.38,0.1,0,0
"AKT1_KAT2A_SNCA",0,0,0,0,0,0,0,0.03,0.83,0.09,1.73,4.38,0.3,0,0
"HIF1A_LGMN_P2RX4",0.04,0,0.06,0,0,0.08,0.32,0,0.83,0.04,1.16,4.38,0.16,0,0
"PTPN11_SMAD3_ZBTB7B",0.3,0.4,0.03,0,0.14,0.17,0.97,0.11,0.83,0.22,0.58,4.38,2.45,0,0
"ATP7A_SMAD3_TGFBR2",0.22,0.41,0.22,0,0.96,0.17,1.13,0.19,0,0.26,1.73,4.38,1.23,0.29,0
"KLF4_RGCC_SIRT1",0.07,0,0.08,0,0,0,0,0.01,0,0,0.58,4.38,1.69,0,0.04
"IL4I1_LGALS9",0.3,0.03,0,0,0.14,0.42,0,0.01,0.42,0,0,4.01,2.33,0,0
"CD200R1_SLAMF8",0,0.05,0,0,0,0,0,0,0,0,0,4.01,0.04,0,0
"KIT_SCIMP",0,0,0,0,0,0,0,0,0,0,0,4.01,0.02,0,0
"AXL_MAP2K6",0,0,0,0,0,0,0,0,0,0,2.31,4.01,0.06,0,0
"ENPP1_STK4",0.41,0.06,0,0.09,0.55,0.92,0.16,0.04,0,0.34,0.58,4.01,0,0,0
"IL1R2_P2RX7",0,0,0,0,0,0,0.16,0,0,0,0,4.01,0.52,0,0.04
"ENPP1_PTPRC",0.45,0.06,0,0.09,0.68,1,0.16,0.08,0,0.39,0.58,4.01,0,0,0.04
"ICAM1_RARG",0.15,0.1,0.03,0,0.14,0.33,0,0.07,0,0,0.58,4.01,1.17,0,0.04
"ID2_SEMA7A",0.11,0.3,0.03,0.09,0.82,0.25,0,0.49,0.83,0.13,0,4.01,0.16,0.86,0.04
"JMJD6_PTGER4_ZBTB1",0.52,0.56,0.03,0,1.37,0.67,0.64,0.62,0,0.09,1.16,4.01,1.37,0,0
"S100A12_S100A8_SLAMF8",0,0.03,0,0,0,0,0,0,0,0,0,4.01,1.41,0,0
"EREG_SLC15A3_TNFAIP3",0,0,0,0,0,0,0,0,0,0,0,4.01,1.99,0,0
"EREG_HHEX_TNFAIP3",0,0,0,0,0,0,0,0,0,0,0.58,4.01,1.73,0,0
"FADD_PTGER4_SELENOK",1.3,0.95,0.33,0.47,1.64,0.92,0.16,1.09,0.42,0.34,0,4.01,1.69,0,0
"ATP5IF1_BAX_KIT",0.07,0.03,0,0,0.68,0.08,0,0.07,0,0,1.16,4.01,0,0,0
"CD83_CXCR4_FADD",0.07,0.11,0.14,0.09,0.27,0.08,0.16,0.07,0.42,0.91,1.16,4.01,0.85,0,0
"CD83_FADD_HIF1A",0.07,0.05,0,0,0,0,0.16,0.04,0,0.3,0,4.01,1.03,0,0
"HSPA9_OSM_PIK3R1",0.6,0.38,0.28,0.28,0.82,1.09,0.16,0.32,0.83,0,0,4.01,0.8,0,0
"MKRN2_NLRP3_RIPK2",0,0.02,0,0,0,0,0,0,0,0,0,4.01,1.53,0,0
"CEBPB_MYC_SNCA",0.07,0.05,0,0,0,0,0,0,0.42,0.04,1.16,4.01,2.13,0,0.04
"CASP9_NFKBID_TP53",0.07,0.06,0.03,0,0.14,0,0,0.03,0.42,0.34,1.73,4.01,0.58,0,0
"FADD_HIF1A_TNFAIP3",0.52,0.51,0.25,0.38,1.1,0.5,0.32,0.36,1.25,0.13,1.73,4.01,1.55,0,0
"BTK_CLNK_SELENOS",0,0,0,0,0,0,0,0.01,0,0.47,1.16,4.01,0.02,0,0
"CCR5_DDX60_IRF7",0.07,0.17,0,0,0.55,0.25,0.97,0.05,0,0,1.16,4.01,0.36,0,0
"EIF2AK2_OAS3_SOCS5",0.11,0.03,0.11,0,0,0,0,0.04,0,0.13,0,4.01,1.05,0,0
"CD40_FLT3_OTUD4",0,0,0,0,0,0,0,0,0,0,1.16,4.01,0.18,0,0
"DDX3X_DHX36_NRARP",0,0.02,0,0,0,0,0,0.01,0,0.04,0,4.01,0.24,0,0
"ID2_TP53_ZC3H12A",0.37,0.79,0.19,0.09,1.78,0.59,0.16,0.72,0.42,0.13,0.58,4.01,1.41,0,0.04
"CARD11_CD86_NLRP3",0,0,0,0,0,0,0,0,0,0.04,0,4.01,0.3,0,0.04
"BCL6_MIF_VEGFA",0,0,0,0,0,0,0,0,0,0.04,0.58,4.01,2.17,0.29,0
"FGR_IL1R2_P2RX7",0,0,0,0,0,0,0,0,0,0,0,4.01,0.44,0,0
"NFE2L2_NFKBID_ZC3H12A",0.07,0.11,0,0,0.55,0.25,0.32,0.17,0,0.65,1.16,4.01,1.23,0,0
"ARID4A_BCL6_RABGEF1",0,0.06,0,0,0,0,0,0.04,0,0.09,0,4.01,0.99,0.29,0.04
"CD81_RARG_TGFBR2",0.86,0.87,0.55,0.85,1.37,1.59,0.16,0.94,0,0.65,0.58,4.01,0.82,0,0
"ANO6_CD40_PIK3CA",0,0.03,0,0,0,0,0,0.03,0.42,0.73,0,4.01,1.15,0,0
"FUT7_IL1B_MAP4K2",0,0,0,0,0,0,0.16,0,0,0,0.58,4.01,0.32,0,0
"CD200R1_LGALS1_SLAMF8",0,0.02,0,0,0,0,0,0,0,0,0,4.01,0.04,0,0
"CD83_HLX_RIPK2",0,0,0,0,0,0,0,0,0,0.04,0,4.01,1.31,0,0
"LCK_MKRN2_NLRP3",0.19,0.11,0.08,0.09,0,0,0.16,0.03,0,0,0,4.01,0.4,0,0.04
"MAP4K2_NOD2_PPP2R3C",0.19,0.05,0.03,0,0,0,0.16,0.03,0.83,0,0,4.01,2.09,0,0
"HSPA9_NFE2L2_PLK2",0.04,0,0.03,0.09,0,0.08,0,0.01,2.08,0.09,0,4.01,0.28,0,0
"CXCR4_NFE2L2_PLK2",0.07,0.02,0.06,0.19,0,0.08,0.16,0.01,0,0.13,0.58,4.01,0.18,0,0
"DDX3X_NFE2L2_PLK2",0.11,0.02,0.08,0.28,0,0.08,0.16,0.05,2.08,0.22,0.58,4.01,0.52,0,0.04
"KLF4_NFE2L2_PLK2",0,0,0,0,0,0,0,0,0,0,0,4.01,0.44,0,0
"HIPK2_MFHAS1_TRIM28",1.04,0.43,0.64,0.66,0.68,0.17,0.64,0.53,2.08,0.56,1.16,4.01,1.19,0,0.11
"HIPK1_HIPK2_MFHAS1",0.89,0.62,0.47,0.38,1.1,0.17,1.13,0.74,0.83,0.26,1.73,4.01,1.61,0,0.11
"ANO6_CD40_RIF1",0.04,0.03,0.03,0,0,0,0.16,0.09,1.25,0.82,0.58,4.01,1.71,0,0
"IL18_IL1B_RASGRP1",0,0,0,0,0,0,0,0,0,0,1.16,4.01,0.12,0,0
"CNN2_ID2_SEMA7A",0.07,0.14,0,0,0.41,0.17,0,0.09,0.42,0.09,0,4.01,0.12,0.29,0
"ADAM17_FLVCR1_RC3H1",0.19,0.19,0.03,0.09,0.55,0.17,0.32,0.12,0.83,0.34,0.58,4.01,1.81,0,0
"FLVCR1_RC3H1_TENT2",0.26,0.29,0.06,0,0.14,0.33,0.32,0.15,1.25,0.34,1.16,4.01,1.33,0,0.04
"IL12RB1_IL27RA_NFKBID",0.41,0.57,0.33,0.19,1.1,0.33,0.32,0.44,1.25,0.34,0.58,4.01,1.45,0,0.04
"PRKCD_S100A8_SLAMF8",0,0.05,0,0,0.14,0,0,0.07,0,0,0.58,4.01,1.33,0,0
"CDKN1A_GAS6_HIF1A",0,0,0,0,0,0,0,0,2.08,0,1.16,4.01,1.11,0,0
"FGL2_IL4I1_LGALS9",0.04,0.02,0,0,0,0,0,0.01,0.42,0,0,4.01,2.33,0,0
"LGALS9_SMAD3_VEGFA",0,0,0.03,0,0,0,0,0,0,0.04,0,4.01,2.41,0,0.04
"CBFB_IL12RB1_ZBTB7B",0.6,0.37,0.11,0.09,0.41,0.5,1.61,0.27,1.25,0.34,0,4.01,1.87,0,0.04
"LFNG_METTL3_MYC",0.67,0.41,0.61,1.23,0.41,1,0.64,0.03,0,1.21,0,4.01,0.93,0,0
"DTX3L_LGMN_TRIM21",0.04,0,0,0.19,0,0,0.32,0,0,0,0,4.01,0.08,0,0
"IKBKB_PDE1B_PTPN2",0.07,0.22,0.06,0.09,0.68,0,0.81,0.17,1.25,0.34,0.58,4.01,1.59,0,0.04
"CCR2_ICAM1_RABGEF1",0,0,0,0,0,0,0,0,0.42,0,0,4.01,0.85,0,0
"AXL_HMGB1_TCF3",0,0,0,0,0,0,0,0,0,0,0.58,4.01,0.02,0,0
"FCGR2B_HLA-DOB_SNCA",0,0,0,0,0,0,0,0,0,0.17,0,4.01,0.02,0,0
"CCR2_OXSR1_PDE4B",0,0.05,0.03,0,0,0,0,0,0,0.09,1.73,4.01,1.65,0,0
"CD81_GCSAM_HAVCR2",0,0.13,0.06,0.19,0.55,0,0.16,0.21,0,0.04,0.58,4.01,0.02,0,0
"NOD2_PIK3AP1_SKP2",0.04,0,0,0,0,0,0,0.01,0,0,0.58,4.01,1.03,0,0
"CCL5_PIK3CB_ZC3H8",0.52,0.78,0.22,0.19,0.82,1,0.32,0.25,0.42,0.17,1.16,4.01,0.8,0,0
"GCH1_PIK3CB_ZC3H8",0.15,0.08,0.11,0,0,0.08,0.32,0.04,0.42,0.17,0,4.01,1.25,0,0
"MAPK3_PIK3CD_SIRT1",0.15,0.19,0.22,0.19,0,0.17,0.97,0.16,0.83,0.3,0.58,4.01,1.91,0,0
"RBPJ_SIN3A_VEGFA",0,0,0,0.09,0,0,0,0,0.42,0,0,4.01,2.17,0,0.04
"AMBRA1_CD33_PTK2B",0,0,0,0,0,0,0,0.01,0,0.04,0.58,4.01,1.57,0,0
"AXL_HMGB1_MAP2K6",0,0,0,0,0,0,0,0,0,0,2.31,4.01,0.06,0,0
"DUSP10_PIK3CD_SH2B3",0.04,0.02,0.03,0,0.27,0.08,0.16,0.09,0,0.04,0,4.01,2.56,0,0
"FADD_FAM20C_TGFB1",0,0,0,0,0,0,0,0,0,0,1.16,4.01,1.35,0,0
"OAS3_SOCS5_YTHDF2",0.07,0.16,0.06,0.09,0,0.08,0.16,0.03,0,0.09,0,4.01,1.01,0,0
"IDO1_MAPK1_TGFBR2",0,0,0,0,0,0,0,0,0,0.04,0,4.01,0.12,0.29,0
"IDO1_TGFBR2_USP15",0,0,0,0,0,0,0,0,0,0.04,0,4.01,0.18,0.29,0
"PECAM1_PIK3CG_PIK3R6",0,0,0.03,0,0,0,0,0,0,0,0,4.01,1.33,0,0
"HLA-DRB1_IFNL1_TCIRG1",0.04,0.22,0,0,0.55,0.17,0,0.49,0,0,0,4.01,0.06,0,0
"CD44_ICAM1_RARG",0.15,0.06,0.03,0,0.14,0.25,0,0.03,0,0,0.58,4.01,1.15,0,0.04
"CYBA_ENPP1_PTPRC",0.41,0.06,0,0.09,0.68,1,0.16,0.08,0,0.39,0.58,4.01,0,0,0
"SLC15A3_SLC26A6_TNFAIP3",0.04,0,0,0,0,0,0,0,0,0.04,1.16,4.01,1.49,0,0
"F11R_ICAM1_IL1B",0,0,0,0,0,0,0,0,0,0,0,4.01,1.33,0,0.22
"F11R_ICAM1_NOTCH1",0,0.03,0,0,0.14,0,0.16,0.01,0,0,0.58,4.01,1.69,0,0.15
"CASP6_DHX9_TLR2",0.07,0.02,0,0,0,0,0.16,0,0,0,0,4.01,1.75,0,0.04
"APP_MYC_PTGER4",0.52,0.14,0.64,0.66,0.27,0.08,0.97,0.01,0.42,0.22,0.58,4.01,1.61,0,0
"AP3D1_TGFBR2_TWSG1",0.04,0.3,0.08,0.19,0.14,0.25,0,0.15,2.08,0.34,0.58,4.01,0.72,0,0
"CD74_ENPP1_PTPRC",0.15,0.06,0,0,0.68,0.84,0.16,0.07,0,0.39,0.58,4.01,0,0,0
"CD200R1_GRN_SLAMF8",0,0.02,0,0,0,0,0,0,0,0,0,4.01,0.04,0,0
"CD81_CLEC7A_SOCS5",0.04,0.11,0.03,0,0,0,0.16,0.04,0.42,0.17,0,4.01,2.39,0,0.04
"CCR2_CD300A_RABGEF1",0,0.06,0,0,0,0,0,0,0.42,0,1.73,4.01,1.21,0,0
"CXCL16_PIK3R1_WASL",0,0.02,0,0,0.14,0,0,0,0,0.04,0,4.01,1.99,0,0
"OAS3_PTPN2_SOCS5",0.11,0.11,0.08,0,0,0.08,0.16,0.08,0,0.13,0,4.01,0.99,0,0
"CXCR4_MYC_SNCA",0.15,0.03,0.25,0.09,0,0,0,0.03,0,0.26,1.16,4.01,0.99,0,0.04
"CD33_CLEC12B_KLF4",0,0,0,0,0,0,0,0,0,0,0,4.01,2.49,0,0
"ITGA4_PTAFR_SCRIB",0,0.06,0.03,0,0,0.08,0,0.01,0,0.17,0.58,4.01,2.23,0,0
"CD81_DENND1B_RSAD2",0.41,0.27,0.11,0.19,1.1,0.08,0.16,0.36,0.83,0.13,2.31,4.01,1.03,0,0.19
"IL1R2_P2RX7_S100A9",0,0,0,0,0,0,0,0,0,0,0,4.01,0.52,0,0.04
"ARRB2_LEPR_PTK2B",0.04,0.22,0,0.09,0.41,0.08,0,0.16,0,0.04,0.58,4.01,2.37,0,0
"DOCK8_LEPR_PTK2B",0.19,0.27,0,0.09,0.55,0.17,0.16,0.19,1.25,0.13,0.58,4.01,2.21,0,0
"FYN_PRKCH_TLR4",0.15,0.21,0.03,0.38,0.14,0.17,0.48,0.25,0,0,0,4.01,2.52,0.29,0.22
"SCRIB_TRIM28_ZMIZ1",0.04,0.16,0,0,0.27,0,0.48,0.08,0.42,0.13,2.31,4.01,1.27,0,0
"ABL1_MKNK2_NF1",0.11,0.3,0.06,0,0.41,0.33,0,0.09,1.25,0.13,0.58,4.01,0.82,0,0
"AXL_MAP2K6_SYK",0,0,0,0,0,0,0,0,0,0,1.73,4.01,0.06,0,0
